Title;Artist;Rank;Last Week;Peak Positon;Weeks on charts;Date;Genre;Producers;Writers;Distributor
Murder In My Mind;Kordhell;182;163;113;19;2023-01-22;Rap, Drift Phonk, Electro House, House, Electronic, EDM, Phonk;Kordhell;Kordhell;The Orchard
Antidepresan;Mert Demir & Mabel Matiz;183;164;97;7;2023-01-22;Pop, Türkçe Sözlü Pop, Türkiye, Turkey;Mert Demir;Mabel Matiz & Mert Demir;None
Don't Stop Believin';Journey;184;187;125;95;2023-01-22;Rock, Piano Rock, Hard Rock, Adult Contemporary, Album-Oriented Rock (AOR), Piano, Glam Rock, Memes, Singer-Songwriter, Eighties;Kevin Elson & Mike Stone;Neal Schon, Steve Perry & Jonathan Cain;None
In Da Club;50 Cent;185;182;44;41;2023-01-22;Rap, Pop Rap, Hardcore Hip-Hop, New York, Hip-Hop, East Coast, Gangsta Rap;Dr. Dre & Mike Elizondo;50 Cent, &;Universal Music Group
Ghost;Justin Bieber;186;176;16;67;2023-01-22;R&B, Pop, Pop-R&B, Contemporary R&B, Future Garage, Dance-Pop, Dance, Synth-Pop, Ballad, Drum & Bass, Canada;Jon Bellion & The Monsters & Strangerz;Michael Pollack, Stefan Johnson, Jordan K. Johnson, Jon Bellion & Justin Bieber;Universal Music Group
Demons;Imagine Dragons;187;-;148;2;2023-01-22;Pop, Rock, Trip-Hop, Adult Contemporary, Soft Rock, Memes, Mental Health, Ballad, Adult Alternative, Alternative Pop, Alternative Rock, Pop-Rock, Alternative;Alex da Kid;Dan Reynolds, Wayne Sermon, , Josh Mosser & Alex da Kid;None
Left And Right;Charlie Puth Featuring Jung Kook;188;175;5;27;2023-01-22;Pop, Synth-Pop, K-Pop (케이팝), K-Solo, South Korea, Genius Korea;Charlie Puth;Jacob Kasher & Charlie Puth;None
Billie Jean;Michael Jackson;189;-;137;36;2023-01-22;R&B, Pop, Soundtrack, Synth-Pop, Disco, Dance-Pop, Singer-Songwriter, Eighties, Funk, Soul, Soul Pop;Quincy Jones & Michael Jackson;Michael Jackson;None
Hotel California;Eagles;190;181;132;97;2023-01-22;Rock, Seventies, Singer-Songwriter, Pop-Rock;Bill Szymczyk;Don Henley, Don Felder &;None
Take On Me;a-ha;191;180;139;64;2023-01-22;Pop, New Wave, Memes, Scandipop, Scandinavia, Eighties, Norge, Synth-Pop;Alan Tarney;Paul Waaktaar-Savoy, Morten Harket & Magne Furuholmen;None
Mr. Brightside;The Killers;192;188;115;71;2023-01-22;Rock, Indie, Indie Rock, Pop-Rock, Rock Pop, Post-Punk, Adult Alternative, Alternative, Alternative Rock, Post-Punk Revival, New Wave;Jeff Saltzman & The Killers;Dave Keuning & Brandon Flowers;None
Hips Don't Lie;Shakira Featuring Wyclef Jean;193;-;193;1;2023-01-22;R&B, Pop, Reggaetón, Dance-Pop, Dance, Cumbia, Latin Music, Colombia, Salsa, Latin Pop;Jerry Duplessis, Shakira & Wyclef Jean;Jerry Duplessis, LaTavia Parker, Omar Alfanno, Shakira & Wyclef Jean;None
Heart Like A Truck;Lainey Wilson;194;195;194;3;2023-01-22;Country, Singer-Songwriter;Jay Joyce;Trannie Anderson, Lainey Wilson & Dallas Wilson;None
Bohemian Rhapsody;Queen;195;190;97;113;2023-01-22;Pop, Rock, Choral Music, Progressive Pop, Album-Oriented Rock (AOR), Memes, Ballad, Glam Rock, Art Rock, Opera, Piano Rock, British Rock, Hard Rock, Piano, Seventies, UK, Progressive Rock;Queen & Roy Thomas Baker;Freddie Mercury;None
Bejeweled;Taylor Swift;196;154;8;12;2023-01-22;Pop, Bubblegum Pop, Nu Disco, Electro-Pop, Electronic, Synth-Pop, Singer-Songwriter;Jack Antonoff & Taylor Swift;Jack Antonoff & Taylor Swift;Universal Music Group
Wrecking Ball;Miley Cyrus;197;-;197;1;2023-01-22;Pop, Melodic Dubstep, Dubstep, Chamber Pop, Orchestral, Adult Contemporary, Ballad;Cirkut & Dr. Luke;David Kim, , , Stephan Moccio, & Sacha Skarbek;Sony Music Entertainment
Vista Al Mar;Quevedo;198;191;114;14;2023-01-22;Pop, Reggaetón, Spanish Pop, Spanish Urban, Spanish Music, En Español;BlueFire;Quevedo;None
Billete Grande;Fuerza Regida X Edgardo Nunez;199;-;199;1;2023-01-22;Pop, Corrido;Jimmy Humilde & JOP;Khrys Ramos, JOP, Angel Ureta & Cristian Primera;None
Wake Me Up!;Avicii;200;196;154;33;2023-01-22;Pop, Folk Pop, Folk, Progressive House, Folktronica, Scandipop, Dance-Pop, Dance, Scandinavia, Sverige, Adult Alternative, Adult Contemporary;Avicii;Mike Einziger, Avicii & Aloe Blacc;None
Flowers;Miley Cyrus;1;1;1;2;2023-01-29;Pop, Funk-Pop, Dance Rock, Pop-Rock, Nu Disco, Dance-Pop, Dance;Kid Harpoon & Tyler Johnson;Miley Cyrus, Aldae & Michael Pollack;None
Bzrp Music Sessions, Vol. 53;Bizarrap & Shakira;2;2;2;3;2023-01-29;Pop, Deep House, Synth-Pop, Latin Urban, Latin Pop, Latin Music, En Español, Colombia, Argentina;Bizarrap;Shakira, KEITYN, Santiago Alvarado & Bizarrap;The Orchard
Kill Bill;SZA;3;3;1;7;2023-01-29;Pop, Alternative R&B, Alternative Pop, Psychedelic, Bedroom Pop, Trip-Hop;Carter Lang & Rob Bisel;SZA, Rob Bisel & Carter Lang;Sony Music Entertainment
Calm Down;Rema & Selena Gomez;4;4;3;30;2023-01-29;R&B, Chillout, Pop-R&B, Contemporary R&B, Nigeria, Afrobeats;Andrevibez & London;Rema;Universal Music Group
Unholy;Sam Smith & Kim Petras;5;6;1;18;2023-01-29;R&B, Pop, UK Pop, Electronic, TikTok, Dark Pop, Electro-Industrial, LGBTQ+, Alternative Pop, Alternative, Deutschland, UK, Alternative R&B, Dance-Pop;Blake Slatkin, Cirkut, ILYA, Jimmy Napes, Omer Fedi & Sam Smith;Blake Slatkin, Cirkut, ILYA, Jimmy Napes, Kim Petras, Omer Fedi & Sam Smith;None
Creepin';Metro Boomin, The Weeknd & 21 Savage;6;5;3;8;2023-01-29;Pop, R&B, Rap, Downtempo, Pop Rap, Synth-Pop, Alternative R&B, Alternative, Pop-R&B, Trap, Hip-Hop, Canada, Atlanta Rap;Metro Boomin, DaHeala, Peter Lee Johnson & johan lenox;Metro Boomin, 21 Savage, DaHeala, Peter Lee Johnson, johan lenox, Mario Winans, Enya, Roma Ryan, Loon, PMD, Erick Sermon, , Michael Carlos Jones & Diddy;Universal Music Group
Escapism;RAYE Featuring 070 Shake;7;7;7;9;2023-01-29;Rap, Pop, Trip-Hop, Alternative Pop, Pop Rap, UK Rap, UK Pop, UK;Mike Sabath;RAYE, 070 Shake & Mike Sabath;None
I'm Good (Blue);David Guetta & Bebe Rexha;8;8;2;22;2023-01-29;Pop, Rap, Hip-Hop, Cloud Rap, Trap, Conscious Hip-Hop, Memes, West Coast;T-Minus & Nikhil Seetharam;Kendrick Lamar, T-Minus & Nikhil Seetharam;Universal Music Group
Anti-Hero;Taylor Swift;9;9;1;14;2023-01-29;Pop, Pop-Rock, Electro-Pop, Electronic, Synth-Pop, Singer-Songwriter;Jack Antonoff & Taylor Swift;Taylor Swift & Jack Antonoff;Universal Music Group
As It Was;Harry Styles;10;11;1;43;2023-01-29;Rock, Pop, Electronic, UK Pop, Dance Rock, Funk Rock, Funk, New Wave, Synth Rock, Alternative, Alternative Rock, Funk-Pop, Alternative Pop, Dance-Pop, Dance, Pop-Rock, Synth-Pop, UK;Tyler Johnson & Kid Harpoon;Kid Harpoon, Tyler Johnson & Harry Styles;Sony Music Entertainment
Ditto;NewJeans;11;10;8;6;2023-01-29;Pop, Alternative Dance, Minimal Techno, K-Pop (케이팝), Girl Group, South Korea, Genius Korea, Korean;250;Ylva Dimberg, 조휴일 (Cho Hyuil), OOHYO (우효), Minji (NewJeans) & 250;None
OMG;NewJeans;12;13;10;4;2023-01-29;Pop, K-Pop (케이팝), Korean, Genius Korea, South Korea, Girl Group;Jinsu Park;Jinsu Park, Gigi (KOR), Ylva Dimberg, Hanni (NewJeans) & Dawood;None
Golden Hour;JVKE;13;16;13;22;2023-01-29;Pop, Hip-Hop, Indie Pop, Indie, Piano, Alternative Pop, Alternative;Zac Lawson & JVKE;Zac Lawson & JVKE;None
La Bachata;Manuel Turizo;14;15;6;29;2023-01-29;Pop, Colombia, Bachata, En Español, Latin Pop, Latin Urban, Latin Music;Edge & Casta;Casta, Juan Diego Medina, Edge, Rios (PR) & Manuel Turizo;None
Sure Thing;Miguel;15;22;15;6;2023-01-29;R&B, TikTok, Alternative R&B, Soul, Soul Pop;Happy Perez;Happy Perez, Miguel & Jawan Pimentel;None
La Jumpa;Arcangel & Bad Bunny;16;14;14;8;2023-01-29;Rap, Pop, House, Drill, Latin Drill, Latin Rap, Trap, Latin Trap, Puerto Rico, En Español, Latin Pop, Latin Urban, Latin Music;MAG & JULiA LEWiS;Arcángel & Bad Bunny;The Orchard
Until I Found You;Stephen Sanchez;17;20;11;37;2023-01-29;Pop, Acoustic, Ballad, Singer-Songwriter, Bedroom Pop, Soft Rock, Alternative Pop, Alternative;Konrad Snyder & Ian Fitchuk;Stephen Sanchez;None
I Ain't Worried;OneRepublic;18;18;5;34;2023-01-29;Pop, Pop-Rock, Soundtrack;Simon Oscroft, Tyler Spry, Brent Kutzle & Ryan Tedder;Björn Yttling, Tyler Spry, Peter Morén, Brent Kutzle, John Eriksson & Ryan Tedder;None
Another Love;Tom Odell;19;21;14;91;2023-01-29;Pop, Rock, UK Pop, Adult Alternative, British Rock, Alternative, Alternative Rock, Piano Rock, UK, Ballad, Singer-Songwriter, Alternative Pop, Piano, Pop-Rock;Dan Grech-Marguerat;Tom Odell;Sony Music Entertainment
Made You Look;Meghan Trainor;20;24;6;14;2023-01-29;Pop, Teen Pop, Funk, Funk-Pop, Bubblegum Pop, Doo-Wop;Federico Vindver;Sean Douglas, Federico Vindver & Meghan Trainor;None
Bebe Dame;Fuerza Regida X Grupo Frontera;21;17;17;4;2023-01-29;Pop, Cumbia;None;JOP & Miguel Armenta;None
Moonlight Sunrise;TWICE;22;-;22;1;2023-01-29;Pop, Dance-Pop, K-Pop (케이팝), Girl Group, South Korea, Genius Korea;earattack & 이우현 (Lee Woo Hyeon);earattack, Nina Ann Nelson, Kaedi Dalley & 이우현 (Lee Woo Hyeon);Dreamus, Republic Records & Universal Music Group
Rich Flex;Drake & 21 Savage;23;23;1;12;2023-01-29;Rap, Chipmunk Soul, Memes, Trap, Atlanta Rap, Canada;Tay Keith, Vinylz, FNZ & BoogzDaBeast;Drake, 21 Savage, Vinylz, Tay Keith, Finatik, Zac, BoogzDaBeast, Megan Thee Stallion, J. White Did It, Bobby Sessions, T.I., DJ Toomp, Gladys Hayes, Charles Bernstein, & Simon Plummer;Universal Music Group, Sony Music Entertainment & Epic Records
Bzrp Music Sessions, Vol. 52;Bizarrap & Quevedo;24;19;1;29;2023-01-29;Pop, Rap, Pop Rap, Trap, Spanish Rap, House, Spanish Pop, En Español, Spanish Music, Argentina, Spanish Urban;Bizarrap;Santiago Alvarado, Quevedo & Bizarrap;The Orchard
Yandel 150;Yandel & Feid;25;31;25;3;2023-01-29;Pop, Puerto Rico, Reggaetón, Colombia, En Español, Latin Pop, Latin Urban, Latin Music;Jowan, Rolo & Wain;Feid, Yandel, Fantakuka, Rolo, Jowan & Wain;The Orchard & Sony Music Latin
Miss You;Oliver Tree & Robin Schulz;26;25;11;16;2023-01-29;Pop, Techno, House, Remix, Dance, Electronic;Robin Schulz;Oliver Tree, Marshmello & David Pramik;None
Superhero (Heroes & Villains);Metro Boomin, Future & Chris Brown;27;26;8;8;2023-01-29;Pop, EDM, Trap, Electronic;Unknown Brain;Unknown Brain & Chris Linton;None
Save Your Tears;The Weeknd & Ariana Grande;28;28;1;108;2023-01-29;R&B, Pop, Ballad, Alternative Pop, Alternative, Nu Disco, Alternative R&B, New Wave, Synthwave, Canada, Synth-Pop;Oscar Holter, Max Martin & The Weeknd;The Weeknd, , DaHeala, Oscar Holter &;Universal Music Group
Die For You;The Weeknd;29;29;27;47;2023-01-29;R&B, Pop, Ambient, Electro-Pop, Dark Ambient, Dark Pop, Adult Alternative, Alternative Dance, Dance-Pop, Dance, Electronic, Alternative Pop, Alternative, Adult Contemporary, Alternative R&B, Ballad;Cashmere Cat, Prince 85, Cirkut, The Weeknd & Doc McKinney;Cirkut, Billy Walsh, Cashmere Cat, Sir Dylan, Prince 85, Doc McKinney & The Weeknd;None
Hey Mor;Ozuna Featuring Feid;30;30;27;15;2023-01-29;Pop, Reggaetón, Colombia, Puerto Rico, En Español, Latin Pop, Latin Urban, Latin Music;Sky Rompiendo;Ozuna, Feid, Sencillo305, Rios (PR), Sky Rompiendo & Hi Music Hi Flow;Sony Music Latin & The Orchard
Under The Influence;Chris Brown;31;27;3;27;2023-01-29;R&B, Alternative R&B, Alternative, DMV;Kiddominant;Tiffany McKie, Davido, Kiddominant & Chris Brown;None
Snooze;SZA;32;41;32;7;2023-01-29;Pop, R&B, Neo Soul, Pop-R&B, Alternative Pop, Alternative, Contemporary R&B, Trip-Hop;Babyface, Khristopher Riddick-Tynes, Leon Thomas III & BLK Beats;SZA, Babyface, Khristopher Riddick-Tynes, Leon Thomas III & BLK Beats;Sony Music Entertainment
Bloody Mary;Lady Gaga;33;32;31;8;2023-01-29;Pop, TikTok, Techno, Electro-Pop, Electronic, Art Pop, Synth-Pop;Lady Gaga, DJ White Shadow & DJ Snake;DJ White Shadow, Lady Gaga, Fernando Garibay, DJ Snake & Clinton Sparks;Universal Music Group
Let Go;Central Cee;34;36;31;6;2023-01-29;Rap, Emo Rap, UK Drill, Drill, UK Rap, UK;Nastylgia & KwolleM;Central Cee, Nastylgia & KwolleM;Warner Music Group
Here With Me;d4vd;35;48;35;11;2023-01-29;Pop, Alternative Pop, Folk, Indie;Blueday & Dan Darmawan;d4vd;None
Nonsense;Sabrina Carpenter;36;73;36;2;2023-01-29;R&B, Pop, Alternative R&B, Bubblegum Pop, Teen Pop, Trap, Singer-Songwriter;Julian Bunetta;Steph Jones, Julian Bunetta & Sabrina Carpenter;None
Something In The Orange;Zach Bryan;37;39;23;39;2023-01-29;Country;Ryan Hadlock;Zach Bryan;None
Que Vuelvas;Carin Leon X Grupo Frontera;38;34;34;5;2023-01-29;Null;Null;Null;Null
10:35;Tiesto Featuring Tate McRae;39;69;39;9;2023-01-29;Pop, New Wave, Nederland, Canada, Garage House, EDM, Electro-Pop, Dance, House, Dance-Pop;Tiësto, LOSTBOY & Ryan Tedder;Tiësto, Amy Allen, Scott Harris, Ryan Tedder, LOSTBOY & Tate McRae;None
Titi Me Pregunto;Bad Bunny;40;37;4;38;2023-01-29;Pop, Latin Trap, Trap, Dembow, Puerto Rico, En Español, Latin Pop, Latin Urban, Latin Music;MAG & La Paciencia;Bad Bunny;The Orchard
Me Porto Bonito;Bad Bunny & Chencho Corleone;41;33;2;38;2023-01-29;Pop, Reggaetón, Puerto Rico, En Español, Latin Pop, Latin Urban, Latin Music;Subelo NEO, Lennex, MAG & La Paciencia;Chencho Corleone & Bad Bunny;The Orchard
Cuff It;Beyonce;42;47;12;26;2023-01-29;Pop, R&B, Funk-Pop, Electro-Pop, Synth-Pop, Dance, Synth Funk, Electro-Funk, Funk, Contemporary R&B, Dance-Pop, Electronic, Nu Disco;Beyoncé, NOVA WAV, Raphael Saadiq, Morten “Rissi” Ristorp & The-Dream;Beyoncé, Raphael Saadiq, Brittany Coney, The-Dream, Morten “Rissi” Ristorp, Blu June, Nile Rodgers, Teena Marie & Allen McGrier;Sony Music Entertainment
Bad Habit;Steve Lacy;43;38;8;29;2023-01-29;Pop, R&B, Alternative, Soul Pop, Neo Soul, Psychedelic Soul, Soul, Psychedelic, Pop-Rock, Alternative Pop, Alternative R&B;Steve Lacy;Matthew Castellanos, John Kirby, Diana Gordon, & Steve Lacy;RCA Records & L-M Records
Just Wanna Rock;Lil Uzi Vert;44;45;30;15;2023-01-29;Rap, Dance-Pop, Dance, Electronic Trap, Electro House, Electro-Pop, Electronic, House, TikTok, Bounce, East Coast, Pop Rap, Jersey Club;MCVertt & Synthetic;Lil Uzi Vert, MCVertt & Synthetic;Warner Music Group
Heat Waves;Glass Animals;45;40;1;108;2023-01-29;R&B, Pop, Trap, Electronic Trap, UK R&B, Alternative R&B, Electro-Pop, Psychedelic, Alternative, Electronic, Adult Alternative, Trip-Hop, UK, Alternative Pop, Synth-Pop;Dave Bayley;Dave Bayley;Universal Music Group
Despecha;Rosalia;46;42;6;26;2023-01-29;Pop, Latin Pop, Merengue, Mambo, Spanish Music, Spanish Urban, Spanish Pop, En Español;Chris Jedi, Gaby Music, Noah Goldstein, Sir Dylan & ROSALÍA;ROSALÍA, Chris Jedi, Gaby Music, Noah Goldstein, Sir Dylan, Dímelo Ninow & David Rodríguez;Columbia Records
Snap;Rosa Linn;47;50;18;29;2023-01-29;Country, Pop, Pop Country, Armenia, Eurovision;Alex Salibian, Ethan Schneiderman & Larzz Principato;Rosa Linn, Larzz Principato, Jeremy Dusoulet, Allie Crystal, Tamar Kaprelian & Courtney Harrell;None
Mockingbird;Eminem;48;46;42;15;2023-01-29;Rap, Letter, Detroit, Hip-Hop, Conscious Hip-Hop, Piano, Lullaby;Luis Resto & Eminem;Eminem &;None
Blinding Lights;The Weeknd;49;49;2;125;2023-01-29;Pop, Nightcore, Dance-Pop, Electro-Pop, Synth-Pop, Synthwave;Oscar Holter, Max Martin & The Weeknd;The Weeknd, Oscar Holter, Max Martin, Belly & DaHeala;Universal Music Group
AMG;Gabito Ballesteros, Peso Pluma & Natanael Cano;50;71;50;3;2023-01-29;Rap, En Español, Latin Urban, Latin Music, Regional Mexicano, México;Roberto Laija;Peso Pluma, Natanael Cano & Gabito Ballesteros;Warner Music Latina
Cold Heart (PNAU Remix);Elton John & Dua Lipa;51;53;3;76;2023-01-29;Rap, Cloud Rap, Trap;Menoh;Menoh, KEELEY!, Landon Cube & Lil Skies;None
Bones;Imagine Dragons;52;58;32;46;2023-01-29;Rock, Pop, Alternative Rock, Alternative Pop, Pop-Rock, Alternative;Mattman & Robin;Dan Reynolds, Wayne Sermon, , Daniel Platzman, Robin Fredriksson & Mattias Larsson;None
Nobody Gets Me;SZA;53;44;12;7;2023-01-29;Pop, Alternative Pop, Adult Contemporary, Contemporary Folk, Folk Pop, Singer-Songwriter, Folk, Ballad;benny blanco & Carter Lang;SZA, Rob Bisel, Carter Lang, Robin Weisse & benny blanco;Sony Music Entertainment
Sweater Weather;The Neighbourhood;54;54;25;122;2023-01-29;Pop, Rock, Alternative Pop, Alternative, Adult Contemporary, Adult Alternative, Pop-Rock, Alternative Rock;Emile Haynie & Justyn Pilbrow;Jeremy Freedman, Zach Abels &;None
Monotonia;Shakira + Ozuna;55;35;18;14;2023-01-29;Pop, Bachata, En Español, Puerto Rico, Latin Urban, Colombia, Latin Music, Latin Pop;Albert Hype, Ciey, KEITYN, Noise Up & Shakira;Shakira, Ozuna, Albert Hype, Ciey, KEITYN, Noise Up & Sergio Robledo;None
Starboy;The Weeknd Featuring Daft Punk;56;61;52;82;2023-01-29;Pop, R&B, Alternative Pop, Alternative, Piano, Dark Pop, Synth-Pop, Canada, Alternative R&B;Daft Punk, Cirkut, Doc McKinney & The Weeknd;Guy-Manuel de Homem-Christo, Thomas Bangalter, DaHeala, The Weeknd, Doc McKinney & Cirkut;None
Low;SZA;57;55;24;7;2023-01-29;R&B, Rap, Dark Trap, Dark Ambient, Contemporary R&B, Pop Rap, Trap;Aire Atlantica, Alessandro Buccellati & Rob Bisel;SZA, Jozzy, Rob Bisel, Alessandro Buccellati, Aire Atlantica & Travis Scott;Sony Music Entertainment
Gato de Noche;Nengo Flow & Bad Bunny;58;43;28;5;2023-01-29;Pop, Reggaetón, Puerto Rico, En Español, Latin Pop, Latin Urban, Latin Music;Smash David, Foreign Teck & Bass Charity;Bad Bunny & Ñengo Flow;The Orchard
Lift Me Up;Rihanna;59;57;3;13;2023-01-29;R&B, Pop, Chamber Folk, Piano, Folk Pop, Memorial, Soul Pop, Marvel, Soundtrack, Ballad;Ludwig Göransson;Rihanna, Tems, Ludwig Göransson, Ryan Coogler & Priscilla Renea;Universal Music Group & Def Jam Recordings
Stay;The Kid LAROI & Justin Bieber;60;52;1;81;2023-01-29;R&B, Pop, Pop Rap, Contemporary R&B, Duet, New Wave, Synth-Pop, Australia, Canada;Cashmere Cat, Blake Slatkin, Omer Fedi & Charlie Puth;Finatik, , , Omer Fedi, Cashmere Cat, Blake Slatkin, , Justin Bieber & The Kid LAROI;Sony Music Entertainment
Leao;Marilia Mendonca;61;51;51;3;2023-01-29;Pop, Brega, Brasil, Em Português;Júnior Campi;Xamã;None
Levitating;Dua Lipa;62;59;2;121;2023-01-29;Rap, Pop, TikTok, Electro-Pop, Funk-Pop, Dance, Dance-Pop, Synth-Pop, Nu Disco, UK;Stuart Price & KOZ;Dua Lipa, Sarah Hudson, Clarence Coffee Jr. &;None
Perfect;Ed Sheeran;63;64;30;125;2023-01-29;Pop, UK Pop, Soft Rock, Acoustic, Orchestral, Easy Listening, Piano, Singer-Songwriter, Adult Contemporary, Ballad, UK;benny blanco, Ed Sheeran & Will Hicks;Ed Sheeran;None
Hype Boy;NewJeans;64;60;52;25;2023-01-29;Pop, Dance-Pop, Future Bass, K-Pop (케이팝), Korean, South Korea, Genius Korea, Girl Group;250;Hanni (NewJeans), Ylva Dimberg & Gigi (KOR);None
Shivers;Ed Sheeran;65;63;3;72;2023-01-29;Pop, UK Pop, Singer-Songwriter, Dance-Pop, UK;Ed Sheeran, Fred again.. & Steve Mac;Ed Sheeran, Kal Lavelle, Johnny McDaid & Steve Mac;Warner Music Group
Punto G;Quevedo;66;72;66;4;2023-01-29;Pop, Reggaetón, Spanish Urban, Spanish Pop, Spanish Music, En Español;BlueFire;Quevedo;None
Kick Back;Kenshi Yonezu;67;56;13;16;2023-01-29;Rock, Genius Japan, J-Rock, TV, Japanese, Japan, Soundtrack, Theme Song, Anime;常田大希 (Daiki Tsuneta) & 米津玄師 (Kenshi Yonezu);米津玄師 (Kenshi Yonezu) & つんく (TSUNKU);None
Feliz Cumpleanos Ferxxo;Feid;68;77;61;21;2023-01-29;Pop, Reggaetón, Colombia, En Español, Latin Pop, Latin Urban, Latin Music;Jowan & Sky Rompiendo;Feid, Jowan, Rolo, Wain & Sky Rompiendo;Universal Music Group
People;Libianca;69;84;69;2;2023-01-29;Pop, Afrosoul, Afrobeats;None;None;None
Players;Coi Leray;70;110;70;3;2023-01-29;Rap, New Wave, Nu Disco;Johnny Goldstein;Coi Leray, Johnny Goldstein, Worldwide Fresh & Feli Ferraro;Universal Music Group
Vibe;TAEYANG Featuring Jimin;71;12;12;2;2023-01-29;R&B, K-R&B, Genius Korea, Korean, K-Solo, South Korea;24, KUSH (쿠시) & Teddy Park;TAEYANG (태양), Vince (KOR), KUSH (쿠시), Jimin (지민), 24 & Teddy Park;YG PLUS & Interscope Records
No Se Va;Grupo Frontera;72;62;31;18;2023-01-29;Pop, En Español;None;None;None
Ojitos Lindos;Bad Bunny & Bomba Estereo;73;65;4;38;2023-01-29;Pop, Colombia, Reggaetón, Puerto Rico, En Español, Latin Pop, Latin Urban, Latin Music;Mvsis, Tainy & La Paciencia;Li Saumet, Simón Mejía (Bomba Estéreo) & Bad Bunny;The Orchard
Romantic Homicide;d4vd;74;74;35;21;2023-01-29;Rock, Pop, Bandlab, Indie Pop, Indie Rock, Indie, Pop-Rock, Alternative, Alternative Rock, Alternative Pop;Dan Darmawan;d4vd;Universal Music Group & DistroKid
Antifragile;LE SSERAFIM;75;68;38;15;2023-01-29;Pop, Reggaetón, K-Pop (케이팝), Girl Group, South Korea, Genius Korea, Korean;13 (KOR);SCORE (13), Megatone (13), Paulina Cerrilla, “hitman” Bang, Shintaro Yasuda, Supreme Boi, Isabella Lovestory, Kyler Niko, Ronnie Icon, Nathalie Boone & danke (lalala studio);None
Shirt;SZA;76;66;18;13;2023-01-29;R&B, Plugg, Trap, Pop Rap, Alternative, Contemporary R&B, Alternative R&B;Rodney Jerkins & Freaky Rob;SZA, Rodney Jerkins & Freaky Rob;Sony Music Entertainment
When I Was Your Man;Bruno Mars;77;87;77;18;2023-01-29;R&B, Pop, Easy Listening, Adult Contemporary, Piano, Ballad, Soul Pop;The Smeezingtons;Ari Levine, Philip Lawrence, Andrew Wyatt &;None
I Wanna Be Yours;Arctic Monkeys;78;81;71;21;2023-01-29;Rock, Psychedelic Soul, Poetry, Adult Alternative, British Rock, Psychedelic Rock, UK, Indie Rock, Alternative Rock;Ross Orton & James Ford;John Cooper Clarke & Arctic Monkeys;None
Fin de Semana;Junior H X Oscar Maydon;79;76;76;2;2023-01-29;Pop, Regional Mexicano, Corrido;None;Alexis Armando Fierro Román;None
Bad Habits;Ed Sheeran;80;78;1;83;2023-01-29;Pop, Synth-Pop, House, Singer-Songwriter, Dance-Pop, UK;Ed Sheeran, Fred again.. & Johnny McDaid;Ed Sheeran, Fred again.. & Johnny McDaid;None
Marisola;Cris Mj Featuring Standly;81;70;70;6;2023-01-29;Pop, Remix, Argentina, Chile, En Español, Reggaetón, Latin Pop, Latin Urban, Latin Music;Moustache & Magicenelbeat;Cris Mj, Duki, NICKI NICOLE & Standly;Universal Music Group
Lavender Haze;Taylor Swift;82;86;2;14;2023-01-29;R&B, Pop, Funk-Pop, Electro-Pop, Electronic, Dream Pop, Alternative Pop, Singer-Songwriter;Sounwave, Jahaan Sweet, Jack Antonoff, Taylor Swift & Braxton Cook;Taylor Swift, Jack Antonoff, Zoë Kravitz, Sounwave, Jahaan Sweet & Sam Dew;Universal Music Group
Efecto;Bad Bunny;83;75;7;38;2023-01-29;Pop, Reggaetón, Puerto Rico, En Español, Latin Pop, Latin Urban, Latin Music;La Paciencia, Bass Charity & MAG;Bad Bunny;The Orchard
Unstoppable;Sia;84;83;81;50;2023-01-29;Pop, Electronic, Electro-Pop, New Wave, Australia;Jesse Shatkin;Chris Braide & Sia;None
Shut Up My Moms Calling;Hotel Ugly;85;67;64;8;2023-01-29;Pop, Indie Pop, Indie, Alternative Pop;Hotel Ugly;Hotel Ugly;None
Someone You Loved;Lewis Capaldi;86;80;24;125;2023-01-29;Pop, Soul Pop, UK Pop, Adult Contemporary, Adult Alternative, Singer-Songwriter, Ballad, Piano, UK;TMS;Ben Kohn, , Pete Kelleher, & Tom Barnes;None
The Color Violet;Tory Lanez;87;90;85;4;2023-01-29;Pop, R&B, Canada;Roark Bailey, Nik Dean & Foreign Teck;Nik Dean, Foreign Teck & Tory Lanez;Create Music Group
Easy On Me;Adele;88;88;1;68;2023-01-29;Pop, Adult Contemporary, Blue-Eyed Soul, Singer-Songwriter, Soul, Ballad, UK, Piano;Greg Kurstin;Greg Kurstin & Adele;Sony Music Entertainment
Chorrito Pa Las Animas;Feid;89;115;89;3;2023-01-29;Pop, Reggaetón, Latin Pop, Colombia, En Español, Latin Urban, Latin Music;Sky Rompiendo;Feid, Sky Rompiendo & Wain;None
Baby Shark;Pinkfong;90;97;38;124;2023-01-29;Pop, Dance-Pop, Dance, Memes, Children's Music;Pinkfong (핑크퐁);Robin Davies & Shawnee Lamb;None
Rock And A Hard Place;Bailey Zimmerman;91;92;59;31;2023-01-29;Country, Singer-Songwriter;Austin Shawn;Heath Warren, Jacob Hackworth & Jet Harvey;None
Star Walkin' (League Of Legends Worlds Anthem);Lil Nas X;92;94;21;18;2023-01-29;Rap, Pop, Soundtrack, Synth-Pop, Atlanta Rap, Hip-Hop, Pop Rap, Trap, Anthem, Gaming, Drill;Cirkut & Omer Fedi;Lil Nas X, Omer Fedi, Cirkut & Ink;Sony Music Entertainment
