Title;Artist;Genre;Producers;Writers;Distributor
Wasted On You;Morgan Wallen;R&B, Country, Country Rap, Trap, Alternative R&B, Pop Country, Ballad, Singer-Songwriter;Jacob Durrett & Joey Moi;Charlie Handsome, Josh Thompson, ERNEST & Morgan Wallen;None
Bohemian Rhapsody;Queen;Pop, Rock, Choral Music, Progressive Pop, Album-Oriented Rock (AOR), Memes, Ballad, Glam Rock, Art Rock, Opera, Piano Rock, British Rock, Hard Rock, Piano, Seventies, UK, Progressive Rock;Queen & Roy Thomas Baker;Freddie Mercury;None
Un Ratito;Bad Bunny;Pop, Reggaetón, Puerto Rico, Latin Pop, Latin Urban, Latin Music, En Español;M. De La Cruz, Tainy & La Paciencia;Bad Bunny;The Orchard
Counting Stars;OneRepublic;Rock, Pop, Folk Pop, Folk Rock, Folk, Dance-Pop, Dance, Dance Rock, Pop-Rock;Ryan Tedder & Noel Zancanella;Ryan Tedder;None
Atlantis;Seafret;Pop, Rock, Pop-Rock;Steve Robson;Roy Stride, Harry Draper & Jack Sedman;None
Smells Like Teen Spirit;Nirvana;Rock, Nineties, Alternative, Hard Rock, Grunge, Alternative Rock;Butch Vig;Krist Novoselic, Dave Grohl &;Uni Distribution
My Universe;Coldplay x BTS;Rock, K-Rock, Korean, Boy Band, Genius Korea, South Korea, Electronic, UK, Pop-Rock;Oscar Holter, Bill Rahko & Max Martin;Bill Rahko, Guy Berryman, Jonny Buckland, Will Champion, Chris Martin, Max Martin, Oscar Holter, RM, SUGA (슈가) & j-hope;Warner Music Group
No Role Modelz;J. Cole;Rap, Conscious Hip-Hop;Phonix Beats, J. Cole & DJ Dahi;J. Cole, Phonix Beats, Suga-T, D-Shot, Studio Ton, DJ Paul, , E-40 & B-Legit;None
Bad Decisions;benny blanco, BTS & Snoop Dogg;Pop, Rap, K-Pop (케이팝), Electronic, Electro-Pop, Pop Rap, Synthwave, Synth-Pop, Boy Band, South Korea, Genius Korea;benny blanco, Blake Slatkin & Cashmere Cat;benny blanco, Mike Posner, Blake Slatkin, Cashmere Cat & Snoop Dogg;None
Gangsta's Paradise;Coolio Featuring L.V.;Pop, Rap, Soul Rap, Pop Rap, West Coast, Nineties, Soundtrack, Hardcore Hip-Hop, Soul, Gangsta Rap, Conscious Hip-Hop;Doug Rasheed;Coolio, L.V. (South Central Cartel), Stevie Wonder & Doug Rasheed;Reservoir Media
I'm Invincible;Ado;Pop, Spotify Singles, Singer-Songwriter, Indie, Alternative, Teen Pop, Bubblegum Pop, Dream Pop, Indie Pop, Alternative Pop;None;Gaia Calderin;None
Don't Start Now;Dua Lipa;Pop, TikTok, Nu Disco, EDM, Electro, House, Dance, Dance-Pop, UK;Ian Kirkpatrick & Drew Jurecka;Emily Warren, Ian Kirkpatrick, Caroline Ailin & Dua Lipa;None
