Title;Artist;Genre;Producers;Writers;Distributor
Shut Down;BLACKPINK;Pop, K-Pop (케이팝), Modern Classical, Orchestral, Girl Group, South Korea, Genius Korea;Teddy Park & 24;Teddy Park, Danny Chung & Vince (KOR);None
Pink Venom;BLACKPINK;Pop, Korean, Hip-Hop, K-Pop (케이팝), Girl Group, South Korea, Genius Korea;Teddy Park, 24, R.Tee & IDO (KOR);Teddy Park, , R.Tee, Danny Chung & IDO (KOR);None
I'm Good (Blue);David Guetta & Bebe Rexha;Pop, Rap, Hip-Hop, Cloud Rap, Trap, Conscious Hip-Hop, Memes, West Coast;T-Minus & Nikhil Seetharam;Kendrick Lamar, T-Minus & Nikhil Seetharam;Universal Music Group
As It Was;Harry Styles;Rock, Pop, Electronic, UK Pop, Dance Rock, Funk Rock, Funk, New Wave, Synth Rock, Alternative, Alternative Rock, Funk-Pop, Alternative Pop, Dance-Pop, Dance, Pop-Rock, Synth-Pop, UK;Tyler Johnson & Kid Harpoon;Kid Harpoon, Tyler Johnson & Harry Styles;Sony Music Entertainment
Me Porto Bonito;Bad Bunny & Chencho Corleone;Pop, Reggaetón, Puerto Rico, En Español, Latin Pop, Latin Urban, Latin Music;Subelo NEO, Lennex, MAG & La Paciencia;Chencho Corleone & Bad Bunny;The Orchard
I Ain't Worried;OneRepublic;Pop, Pop-Rock, Soundtrack;Simon Oscroft, Tyler Spry, Brent Kutzle & Ryan Tedder;Björn Yttling, Tyler Spry, Peter Morén, Brent Kutzle, John Eriksson & Ryan Tedder;None
Bzrp Music Sessions, Vol. 52;Bizarrap & Quevedo;Pop, Rap, Pop Rap, Trap, Spanish Rap, House, Spanish Pop, En Español, Spanish Music, Argentina, Spanish Urban;Bizarrap;Santiago Alvarado, Quevedo & Bizarrap;The Orchard
Titi Me Pregunto;Bad Bunny;Pop, Latin Trap, Trap, Dembow, Puerto Rico, En Español, Latin Pop, Latin Urban, Latin Music;MAG & La Paciencia;Bad Bunny;The Orchard
Under The Influence;Chris Brown;R&B, Alternative R&B, Alternative, DMV;Kiddominant;Tiffany McKie, Davido, Kiddominant & Chris Brown;None
Super Freaky Girl;Nicki Minaj;Rap, Pop, TikTok, Electro-Pop, Dance, Clash, Trap, Electronic, East Coast, Electronic Trap, Dance-Pop, Trinidad & Tobago;Dr. Luke, Malibu Babie, Vaughn Oliver & Aaron Joseph;Alonzo Miller, Rick James, Nicki Minaj, Dr. Luke, Aaron Joseph, Lauren Miller, LunchMoney Lewis & Vaughn Oliver;Universal Music Group
La Bachata;Manuel Turizo;Pop, Colombia, Bachata, En Español, Latin Pop, Latin Urban, Latin Music;Edge & Casta;Casta, Juan Diego Medina, Edge, Rios (PR) & Manuel Turizo;None
Despecha;Rosalia;Pop, Latin Pop, Merengue, Mambo, Spanish Music, Spanish Urban, Spanish Pop, En Español;Chris Jedi, Gaby Music, Noah Goldstein, Sir Dylan & ROSALÍA;ROSALÍA, Chris Jedi, Gaby Music, Noah Goldstein, Sir Dylan, Dímelo Ninow & David Rodríguez;Columbia Records
Calm Down;Rema & Selena Gomez;R&B, Chillout, Pop-R&B, Contemporary R&B, Nigeria, Afrobeats;Andrevibez & London;Rema;Universal Music Group
Bad Habit;Steve Lacy;Pop, R&B, Alternative, Soul Pop, Neo Soul, Psychedelic Soul, Soul, Psychedelic, Pop-Rock, Alternative Pop, Alternative R&B;Steve Lacy;Matthew Castellanos, John Kirby, Diana Gordon, & Steve Lacy;RCA Records & L-M Records
Efecto;Bad Bunny;Pop, Reggaetón, Puerto Rico, En Español, Latin Pop, Latin Urban, Latin Music;La Paciencia, Bass Charity & MAG;Bad Bunny;The Orchard
Typa Girl;BLACKPINK;Pop, K-Pop (케이팝), Hip-Hop, Girl Group, South Korea, Genius Korea;Dominsuk & Bekuh BOOM;Bekuh BOOM;None
Heat Waves;Glass Animals;R&B, Pop, Trap, Electronic Trap, UK R&B, Alternative R&B, Electro-Pop, Psychedelic, Alternative, Electronic, Adult Alternative, Trip-Hop, UK, Alternative Pop, Synth-Pop;Dave Bayley;Dave Bayley;Universal Music Group
Snap;Rosa Linn;Country, Pop, Pop Country, Armenia, Eurovision;Alex Salibian, Ethan Schneiderman & Larzz Principato;Rosa Linn, Larzz Principato, Jeremy Dusoulet, Allie Crystal, Tamar Kaprelian & Courtney Harrell;None
Another Love;Tom Odell;Pop, Rock, UK Pop, Adult Alternative, British Rock, Alternative, Alternative Rock, Piano Rock, UK, Ballad, Singer-Songwriter, Alternative Pop, Piano, Pop-Rock;Dan Grech-Marguerat;Tom Odell;Sony Music Entertainment
Ojitos Lindos;Bad Bunny & Bomba Estereo;Pop, Colombia, Reggaetón, Puerto Rico, En Español, Latin Pop, Latin Urban, Latin Music;Mvsis, Tainy & La Paciencia;Li Saumet, Simón Mejía (Bomba Estéreo) & Bad Bunny;The Orchard
Running Up That Hill (A Deal With God);Kate Bush;Pop, Progressive Pop, Soundtrack, Memes, UK Pop, Netflix, TV, Avant Garde, Adult Contemporary, Singer-Songwriter, Alternative Pop, Alternative, Avant-Pop, Eighties, UK, Synth-Pop, New Wave, Art Pop;Kate Bush;Kate Bush;None
Moscow Mule;Bad Bunny;Pop, Puerto Rico, En Español, Latin Pop, Latin Urban, Latin Music;Scotty Dittrich, Mick Coogan, La Paciencia & MAG;Bad Bunny;The Orchard
Save Your Tears;The Weeknd & Ariana Grande;R&B, Pop, Ballad, Alternative Pop, Alternative, Nu Disco, Alternative R&B, New Wave, Synthwave, Canada, Synth-Pop;Oscar Holter, Max Martin & The Weeknd;The Weeknd, , DaHeala, Oscar Holter &;Universal Music Group
Neverita;Bad Bunny;Pop, House, Latin Trap, Trap, Latin Pop, Puerto Rico, En Español, Latin Urban, Latin Music;Cheo Legendary, La Paciencia & Tainy;Bad Bunny;The Orchard
Glimpse Of Us;Joji;R&B, Pop, Soul Pop, Soul, Australia, Alternative R&B, Japan, Alternative Pop, Alternative, Adult Contemporary, Singer-Songwriter, Ballad, Piano;Connor McDonough;Riley McDonough, Joel Castillo, Connor McDonough, Idarose &;Warner Music Group
Sunroof;Nicky Youre & dazy;Rock, Pop, Bedroom Pop, Pop-Rock, Alternative Rock, Alternative Pop, Indie, Alternative;Dazy;Nicky Youre;None
Hard To Love;BLACKPINK;Pop, K-Solo, K-Pop (케이팝), Nu Disco, Pop-Rock, South Korea, Genius Korea;Teddy Park, Freddy Wexler, Blush, Max Wolfgang, 24 & R.Tee;Freddy Wexler, Blush, Max Wolfgang & Teddy Park;None
Cold Heart (PNAU Remix);Elton John & Dua Lipa;Rap, Cloud Rap, Trap;Menoh;Menoh, KEELEY!, Landon Cube & Lil Skies;None
I Like You (A Happier Song);Post Malone Featuring Doja Cat;Rap, Soundtrack, Broadway, History, Musicals;Lin-Manuel Miranda, ?uestlove, Black Thought, Bill Sherman & Alex Lacamoire;Lin-Manuel Miranda, Richard Rodgers, Oscar Hammerstein II, Havoc, Prodigy of Mobb Deep, The Notorious B.I.G., Easy Mo Bee & Roger Troutman;None
Hold Me Closer;Elton John & Britney Spears;Pop, Singer-Songwriter, Alternative Pop, Alternative Dance, Alternative, Electro, Electronica, Electro-Pop, Electronic, Dance, Mashup, Nu Disco, Dance-Pop, UK, Remix;watt & Cirkut;Elton John, Bernie Taupin, watt & Cirkut;None
Provenza;Karol G;Pop, Afrobeats, Colombia, Latin Pop, Latin Urban, Latin Music, En Español;Ovy On The Drums;KEITYN, Ovy On The Drums & KAROL G;None
Stay;The Kid LAROI & Justin Bieber;R&B, Pop, Pop Rap, Contemporary R&B, Duet, New Wave, Synth-Pop, Australia, Canada;Cashmere Cat, Blake Slatkin, Omer Fedi & Charlie Puth;Finatik, , , Omer Fedi, Cashmere Cat, Blake Slatkin, , Justin Bieber & The Kid LAROI;Sony Music Entertainment
Ferrari;James Hype & Miggy Dela Rosa;Pop, Deep House, House, Alternative Dance, Electronic, UK, Dance-Pop, Electro-Pop, Dance;James Hype;James Hype, Miggy Dela Rosa, Josh Grimmett, Johannes Shore, Diddy, Loon, Adonis, Michael Carlos Jones, Frank Romano & Mario Winans;None
The Happiest Girl;BLACKPINK;Pop, K-Ballad, Modern Classical, Ballad, Genius Korea, South Korea, Girl Group;24, Teddy Park & Paro;Natalia Kills & Willy Moon;None
About Damn Time;Lizzo;Rap, R&B, Pop, Pop Rap, Hip-Hop, Pop-R&B, Dance, Funk, Nu Disco, Funk-Pop, Dance-Pop;Blake Slatkin & Ricky Reed;Blake Slatkin, Theron Thomas, Ricky Reed, Malcolm McLaren, JazzyJust, Larry Price, Stephen Hague &;None
Levitating;Dua Lipa;Rap, Pop, TikTok, Electro-Pop, Funk-Pop, Dance, Dance-Pop, Synth-Pop, Nu Disco, UK;Stuart Price & KOZ;Dua Lipa, Sarah Hudson, Clarence Coffee Jr. &;None
Jimmy Cooks;Drake Featuring 21 Savage;Rap, Pop Rap, Hardcore Hip-Hop, Outro, Atlanta Rap, Hip-Hop, Trap, Canada;Vinylz, Tay Keith, CuBeatz &;Drake, 21 Savage, Tay Keith, Vinylz, Kevin Gomringer, Tim Gomringer, Tizzle, Dougie F, Playa Fly, Harry Ray, Al Goodman & Walter Morris;Universal Music Group
